slug,brand,model,sku,title,price,msrp,capacity,width,depth,height,voltage,amps,circuits,watts,spectrum,emf_label,emf_claim,emf_distance,red_light,wood,max_temp,indoor,source_url,last_checked,source,retailer_slug,source_group,source_priority,pure_infrared,traditional,hybrid,image
dyn-6119-03-fs,Dynamic Saunas,DYN-6119-03 FS,DYN-6119-03 FS,Dynamic Saunas DYN-6119-03 FS Gracia 2 Person Full Spectrum Near Zero EMF Far Infrared Sauna,2899.0,4999.0,2,,,,,,,,Infrared,Not stated,,,False,,,True,https://inhousewellness.com/products/dynamic-saunas-dyn-6119-03-fs-gracia,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/DYN-6119-03_FS_Left_Qtr_8e1f4de5-8609-4977-a662-3b05658c2ba6.webp?v=1770885669
dyn-6225-02-elite,Dynamic Saunas,DYN-6225-02 Elite,DYN-6225-02 Elite,Dynamic Heming Elite 2-Person Corner Ultra Low EMF FAR Infrared Sauna,2999.0,5999.0,2,,,,120,15.0,1,,Infrared,Not stated,under 3MG,,False,Canadian Hemlock,140,True,https://inhousewellness.com/products/dynamic-saunas-heming,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/dynamic-heming-elite-2-person-corner-ultra-low-emf-far-infrared-sauna-canadian-hemlock-369840.jpg?v=1770877551
dyn-6203-02-fs,Dynamic Saunas,DYN-6203-02 FS,DYN-6203-02 FS,Dynamic Cordoba 2-Person Full Spectrum Near Zero EMF Sauna,3299.0,5999.0,2,46.0,41.0,75.0,120,15.0,1,,Infrared,Not stated,under 3 MG,2–3 inches from heater/panel,False,Canadian Hemlock,140,True,https://inhousewellness.com/products/dynamic-cordoba-2-person-full-spectrum-sauna,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/Dynamic-Saunas-Cardoba-DYN-6203-02-FS.png?v=1785856816
dyn-6440-01,Dynamic Saunas,DYN-6440-01,DYN-6440-01,Dynamic Saunas Low EMF Far Infrared Sauna - Bergamo Edition,3299.0,6999.0,4,70.0,42.0,75.0,120,20.0,1,,Infrared,Not stated,5–10 mG,,False,Canadian Hemlock,140,True,https://inhousewellness.com/products/dynamic-saunas-bergamo,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/dynamic-saunas-low-emf-far-infrared-sauna-bergamo-edition-819128.jpg?v=1770879374
dyn-6440-01-elite,Dynamic Saunas,DYN-6440-01 Elite,DYN-6440-01 Elite,Dynamic Bergamo Elite 4-Person Ultra Low EMF FAR Infrared Sauna,3999.0,7999.0,4,70.0,42.0,75.0,120,20.0,1,,Infrared,Not stated,3–5 MG,2–3 inches from heater/panel,False,Canadian Hemlock,140,True,https://inhousewellness.com/products/dynamic-bergamo-elite-4-person-ultra-low-emf-sauna,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/DYN-6440-01_Bergamo-bathroom.png?v=1785856314
dyn-6996-01-elite,Dynamic Saunas,DYN-6996-01 Elite,DYN-6996-01 Elite,Dynamic Monaco 6-person Ultra Low EMF (Under 3MG) FAR Infrared Sauna,6499.0,8999.0,6,,,,120,20.0,2,,Infrared,Not stated,Under 3MG,6–8 inches from heater/panel,False,Canadian Hemlock,140,True,https://inhousewellness.com/products/dynamic-saunas-monaco,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/dynamic-monaco-6-person-ultra-low-emf-under-3mg-far-infrared-sauna-318009.jpg?v=1770877343
fd-kn001,Finnmark Designs,FD-KN001,FD-KN001,Finnmark FD‑1 Full‑Spectrum Infrared Sauna – 1‑Person Compact Heater,4695.0,5164.5,2,38.0,38.0,78.0,120,15.0,1,1750,Infrared,Not stated,,8 inches from heater/panel,False,Cedar / Aspen,140,True,https://inhousewellness.com/products/finnmark-fd-1,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/1-person-full-spectrum-infrared-sauna-500x500.jpg?v=1770883133
fd-kn002,Finnmark Designs,FD-KN002,FD-KN002,Finnmark FD-2 Full Spectrum Infrared Sauna – 2 Person,5995.0,7194.0,2,48.0,44.0,78.0,120,15.0,1,1750,Infrared,Not stated,,8 inches from heater/panel,False,Cedar / Aspen,170,True,https://inhousewellness.com/products/finnmark-fd-2,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/2-person-full-spectrum-infrared-sauna-1-500x500.jpg?v=1770883081
fd-kn003,Finnmark Designs,FD-KN003,FD-KN003,Finnmark FD-3 Full Spectrum 3-Person Infrared Sauna,6495.0,7144.5,3,,,,240,15.0,1,3150,Infrared,Not stated,,8 inches from heater/panel,False,Cedar / Aspen,170,True,https://inhousewellness.com/products/finnmark-fd-3,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/finnmark-fd-3-indoor.png?v=1770883105
gdi-6880-02-elite,Golden Designs Inc,GDI-6880-02 Elite,GDI-6880-02 Elite,Golden Designs GDI-6880-02 Elite Catalonia 8 Person Ultra Low EMF Far Infrared Sauna,9999.0,14999.0,8,,,,240,30.0,1,,Infrared,Not stated,under 3MG,3 inches from heater/panel,False,Canadian Hemlock,140,True,https://inhousewellness.com/products/golden-designs-gdi-6880-02-elite-catalonia,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/DYN-6880-01_Catalonia_-_8_Per_-_Yoga_BG_3Kx3K.webp?v=1770885749
